マンション名,都,区,区域,間取り,間取りDK,間取りK,間取りL,間取りS,築年数,建物高さ,階,専有面積,賃料+管理費,敷/礼,路線1,駅1,徒歩1,賃料,管理費,敷金,礼金,予測価格,test-predict,ratio[%]
レジディア大手町北,東京都,千代田区,内神田１,1,0,0,0,0,4,13,2,25,149000,278000,ＪＲ山手線,神田駅,5,139000,10000,139000,139000,150000,-1000,0.7
ＪＲ山手線秋葉原駅10階建築7年,東京都,千代田区,外神田２,1,0,0,0,0,7,10,4,25,130000,240000,ＪＲ山手線,秋葉原駅,10,120000,10000,120000,120000,130000,0,0.0
プレジリア九段下,東京都,千代田区,九段北１,1,1,0,1,0,8,10,7,35,153000,145000,東京メトロ東西線,九段下駅,4,145000,8000,145000,0,160000,-7000,4.6
ＪＲ山手線秋葉原駅13階建築18年,東京都,千代田区,神田東紺屋町,1,0,0,0,0,18,13,11,22,90000,160000,ＪＲ山手線,秋葉原駅,7,80000,10000,80000,80000,93000,-3000,3.3
FREESIATERRACE,東京都,千代田区,九段南３,1,1,0,1,0,11,15,6,40,177000,486000,東京メトロ南北線,市ケ谷駅,6,162000,15000,162000,324000,179000,-2000,1.1
都営新宿線小川町駅11階建築2年,東京都,千代田区,神田小川町３,1,1,0,1,0,2,11,10,51,235000,450000,都営新宿線,小川町駅,6,225000,10000,225000,225000,239000,-4000,1.7
東京メトロ有楽町線飯田橋駅10階建築20年,東京都,千代田区,富士見２,1,0,0,0,0,20,10,9,22,114000,108000,東京メトロ有楽町線,飯田橋駅,4,108000,6000,108000,0,105000,9000,7.9
ＪＲ山手線神田駅12階建築6年,東京都,千代田区,神田司町２,2,0,0,0,0,6,12,12,33,156000,292000,ＪＲ山手線,神田駅,7,146000,10000,146000,146000,151000,5000,3.2
ミレニアムガーデンコート,東京都,千代田区,二番町,1,1,0,1,0,23,17,3,53,320000,640000,東京メトロ有楽町線,麹町駅,4,320000,0,320000,320000,298000,22000,6.9
CALSSYHOUSE大手町　【クラッシィハウス大手町】,東京都,千代田区,内神田１,1,0,0,0,0,0,16,3,28,150000,280000,ＪＲ山手線,神田駅,8,140000,10000,140000,140000,150000,0,0.0
Ｒｕｙｇｏ御茶ノ水,東京都,千代田区,神田猿楽町２,1,0,0,0,0,0,5,5,20,114000,0,東京メトロ半蔵門線,神保町駅,6,104000,10000,0,0,116000,-2000,1.8
エステムプラザ丸の内NORTHRISE,東京都,千代田区,内神田１,1,0,0,0,0,16,12,4,22,99000,84000,ＪＲ山手線,神田駅,7,84000,15000,0,84000,96000,3000,3.0
シャルマン新光松富町,東京都,千代田区,外神田４,1,0,0,0,0,3,5,3,28,160000,308000,東京メトロ銀座線,末広町駅,2,154000,6000,154000,154000,150000,10000,6.2
東京メトロ東西線九段下駅10階建築42年,東京都,千代田区,神田神保町３,1,0,0,0,0,42,10,6,16,75000,138000,東京メトロ東西線,九段下駅,3,69000,6000,69000,69000,75000,0,0.0
ビュロー平河町（ビューロヒラカワチョウ）,東京都,千代田区,平河町１,1,1,0,1,0,24,8,4,73,280000,560000,東京メトロ半蔵門線,半蔵門駅,3,280000,0,280000,280000,302000,-22000,7.9
アルファグランデ千桜タワー,東京都,千代田区,神田東松下町,2,1,0,1,0,5,25,9,56,380000,696000,都営新宿線,岩本町駅,1,348000,32000,348000,348000,380000,0,0.0
ＪＲ総武線市ケ谷駅地下2地上17階建築16年,東京都,千代田区,四番町,2,1,0,1,0,16,17,8,63,350000,1050000,ＪＲ総武線,市ケ谷駅,3,350000,0,700000,350000,380000,-30000,8.6
レグノ・フォルテ二番町,東京都,千代田区,二番町,1,0,0,0,0,17,14,13,25,129000,129000,ＪＲ中央線,四ツ谷駅,4,129000,0,0,129000,129000,0,0.0
ＪＲ山手線神田駅12階建築4年,東京都,千代田区,神田須田町２,1,0,0,0,0,4,12,5,20,113000,0,ＪＲ山手線,神田駅,5,98000,15000,0,0,113000,0,0.0
そのビル,東京都,千代田区,西神田２,1,0,0,0,0,3,3,3,21,103000,300000,都営三田線,神保町駅,4,100000,3000,200000,100000,113000,-10000,9.7
イン　スタイル　スクエア,東京都,千代田区,岩本町２,1,0,0,0,0,17,14,8,24,103000,103000,都営新宿線,岩本町駅,2,103000,0,103000,0,108000,-5000,4.9
九段千鳥ヶ淵テラス,東京都,千代田区,九段南２,1,1,0,1,0,9,12,3,37,176000,340000,東京メトロ東西線,九段下駅,5,170000,6000,170000,170000,176000,0,0.0
東京メトロ日比谷線秋葉原駅12階建築16年,東京都,千代田区,神田佐久間河岸,1,0,0,0,0,16,12,3,25,103000,186000,東京メトロ日比谷線,秋葉原駅,3,93000,10000,93000,93000,103000,0,0.0
プラウドフラット東神田,東京都,千代田区,東神田１,1,0,0,0,0,8,13,5,30,139000,131000,ＪＲ総武線快速,馬喰町駅,3,131000,8000,131000,0,139000,0,0.0
OLIO東神田　【オリオ東神田】,東京都,千代田区,東神田３,1,0,0,0,0,21,13,10,25,95000,190000,ＪＲ山手線,秋葉原駅,7,95000,0,95000,95000,108000,-13000,13.7
テルセーロ三鈴,東京都,千代田区,岩本町１,2,1,0,1,0,25,8,4,64,227000,430000,東京メトロ日比谷線,小伝馬町駅,5,215000,12000,215000,215000,227000,0,0.0
KDXレジデンス半蔵門,東京都,千代田区,麹町２,1,0,0,0,0,20,13,2,31,150000,140000,東京メトロ半蔵門線,半蔵門駅,2,140000,10000,140000,0,150000,0,0.0
ロイジェント東神田,東京都,千代田区,外神田１,2,1,0,1,0,5,13,12,70,345000,666000,都営新宿線,岩本町駅,5,333000,12000,333000,333000,300000,45000,13.0
コンフォリア秋葉原イースト,東京都,千代田区,東神田２,1,0,0,0,0,7,12,6,25,124000,118000,ＪＲ山手線,秋葉原駅,8,118000,6000,118000,0,124000,0,0.0
デュオ・スカーラ御茶ノ水II,東京都,千代田区,神田淡路町１,1,0,0,0,0,20,8,6,23,98000,184000,東京メトロ千代田線,新御茶ノ水駅,1,92000,6000,92000,92000,98000,0,0.0
ＪＲ山手線神田駅4階建築56年,東京都,千代田区,神田須田町１,1,1,0,1,1,56,4,4,38,150000,150000,ＪＲ山手線,神田駅,8,150000,0,0,150000,150000,0,0.0
都営新宿線岩本町駅12階建築17年,東京都,千代田区,岩本町３,1,0,0,0,0,17,12,12,22,89000,178000,都営新宿線,岩本町駅,3,89000,0,89000,89000,89000,0,0.0
東京メトロ半蔵門線半蔵門駅10階建新築,東京都,千代田区,平河町１,2,1,0,0,0,0,10,5,40,275000,260000,東京メトロ半蔵門線,半蔵門駅,4,260000,15000,0,260000,265000,10000,3.6
ミライズレジデンシャル九段,東京都,千代田区,九段北１,1,0,0,0,0,7,13,4,32,164000,154000,東京メトロ東西線,九段下駅,3,154000,10000,154000,0,164000,0,0.0
ライオンズステーションプラザ半蔵門,東京都,千代田区,麹町１,1,0,0,0,0,41,10,6,17,82000,154000,東京メトロ半蔵門線,半蔵門駅,2,77000,5000,77000,77000,82000,0,0.0
プレジール三番町,東京都,千代田区,三番町,1,1,0,0,0,24,8,6,31,130000,250000,都営新宿線,市ケ谷駅,4,125000,5000,125000,125000,138000,-8000,6.2
ＪＲ総武線浅草橋駅11階建築15年,東京都,千代田区,東神田３,1,1,0,1,0,15,11,10,40,147000,137000,ＪＲ総武線,浅草橋駅,2,137000,10000,0,137000,160000,-13000,8.8
ＪＲ中央線四ツ谷駅13階建築7年,東京都,千代田区,隼町,1,1,0,0,0,7,13,3,33,205500,195000,ＪＲ中央線,四ツ谷駅,15,195000,10500,0,195000,205500,0,0.0
都営新宿線市ケ谷駅11階建築19年,東京都,千代田区,九段北４,1,1,0,1,1,19,11,10,47,230000,460000,都営新宿線,市ケ谷駅,1,230000,0,230000,230000,225000,5000,2.2
アール平河町,東京都,千代田区,平河町２,3,1,0,0,0,40,4,3,53,199000,398000,東京メトロ南北線,永田町駅,3,199000,0,199000,199000,199000,0,0.0
東京メトロ半蔵門線半蔵門駅15階建築5年,東京都,千代田区,一番町,3,1,0,1,0,5,15,14,151,1100000,2200000,東京メトロ半蔵門線,半蔵門駅,3,1100000,0,1100000,1100000,1200000,-100000,9.1
東京メトロ半蔵門線大手町駅12階建築5年,東京都,千代田区,神田錦町３,1,0,0,0,0,5,12,3,30,146000,69000,東京メトロ半蔵門線,大手町駅,9,138000,8000,69000,0,146000,0,0.0
ＪＲ山手線秋葉原駅11階建築22年,東京都,千代田区,東神田２,1,0,0,0,0,22,11,3,22,90000,80000,ＪＲ山手線,秋葉原駅,6,80000,10000,0,80000,90000,0,0.0
東京メトロ銀座線神田駅地下1地上13階建築19年,東京都,千代田区,神田多町２,1,0,0,0,0,19,13,11,22,93000,83000,東京メトロ銀座線,神田駅,2,83000,10000,83000,0,93000,0,0.0
コノエ三番町,東京都,千代田区,三番町,1,1,0,0,0,11,12,7,30,160000,320000,ＪＲ中央線,市ケ谷駅,9,160000,0,160000,160000,160000,0,0.0
シティインデックス千代田秋葉原,東京都,千代田区,神田佐久間町３,1,1,0,1,0,6,14,12,45,235000,450000,東京メトロ日比谷線,秋葉原駅,5,225000,10000,225000,225000,220000,15000,6.4
東京メトロ半蔵門線神保町駅8階建築21年,東京都,千代田区,神田小川町３,1,1,0,1,0,21,8,2,60,250000,238000,東京メトロ半蔵門線,神保町駅,5,238000,12000,238000,0,249000,1000,0.4
正栄ビル,東京都,千代田区,東神田３,2,1,0,0,0,35,4,4,38,125000,250000,ＪＲ総武線,浅草橋駅,4,125000,0,125000,125000,150000,-25000,20.0
XEBECOTEMACHI　【ジーベック大手町】,東京都,千代田区,神田錦町１,1,0,0,0,0,6,13,6,26,122000,113000,ＪＲ山手線,神田駅,9,113000,9000,113000,0,122000,0,0.0
ポレスター千代田御茶ノ水,東京都,千代田区,外神田２,1,1,0,1,0,10,10,9,41,180000,340000,ＪＲ総武線,御茶ノ水駅,8,170000,10000,170000,170000,180000,0,0.0
リビオレゾン内神田,東京都,千代田区,内神田１,1,1,0,1,0,4,13,9,32,180000,340000,ＪＲ山手線,神田駅,7,170000,10000,170000,170000,160000,20000,11.1
カーサフジマ,東京都,千代田区,九段北４,1,0,0,0,0,42,9,3,31,119000,238000,都営新宿線,市ケ谷駅,3,119000,0,119000,119000,119000,0,0.0
グラックス市ヶ谷一口坂,東京都,千代田区,九段北４,1,0,0,0,0,18,12,2,26,117000,105000,都営新宿線,市ケ谷駅,5,105000,12000,105000,0,110000,7000,6.0
デュアレス千代田三崎町,東京都,千代田区,神田三崎町３,1,0,0,0,0,8,11,3,25,154500,144000,都営三田線,水道橋駅,10,144000,10500,0,144000,154500,0,0.0
マストライフ神田錦町,東京都,千代田区,神田錦町２,1,0,0,0,0,5,13,9,25,127880,238000,東京メトロ千代田線,大手町駅,6,119000,8880,119000,119000,130000,-2120,1.7
ウィン神田,東京都,千代田区,神田須田町１,1,0,0,0,0,42,11,9,21,95000,85000,東京メトロ銀座線,神田駅,4,85000,10000,85000,0,95000,0,0.0
二番町パークフォレスト,東京都,千代田区,二番町,2,1,0,1,0,19,14,14,130,630000,2520000,東京メトロ有楽町線,麹町駅,4,630000,0,1260000,1260000,630000,0,0.0
東京メトロ半蔵門線神保町駅8階建築7年,東京都,千代田区,神田神保町１,1,0,0,0,0,7,8,2,21,109000,99000,東京メトロ半蔵門線,神保町駅,3,99000,10000,99000,0,107000,2000,1.8
レジディア神田,東京都,千代田区,神田多町２,1,1,0,1,0,17,13,5,30,153000,286000,ＪＲ山手線,神田駅,3,143000,10000,143000,143000,155000,-2000,1.3
カスタリアお茶の水,東京都,千代田区,神田小川町３,1,1,0,1,0,21,8,2,60,250000,238000,東京メトロ半蔵門線,神保町駅,5,238000,12000,238000,0,249000,1000,0.4
東京メトロ日比谷線秋葉原駅12階建築4年,東京都,千代田区,東神田２,1,0,0,0,0,4,12,6,25,129000,240000,東京メトロ日比谷線,秋葉原駅,6,120000,9000,120000,120000,130000,-1000,0.8
東京メトロ有楽町線飯田橋駅10階建新築,東京都,千代田区,富士見２,1,1,0,1,0,0,10,1,33,179000,169000,東京メトロ有楽町線,飯田橋駅,3,169000,10000,169000,0,154000,25000,14.0
ラ・トゥール千代田,東京都,千代田区,西神田３,1,0,0,0,0,20,32,21,43,260000,520000,都営三田線,神保町駅,6,260000,0,520000,0,218000,42000,16.2
ＪＲ山手線神田駅9階建築3年,東京都,千代田区,岩本町２,1,1,0,1,0,3,9,7,36,165000,300000,ＪＲ山手線,神田駅,8,150000,15000,150000,150000,165000,0,0.0
東京メトロ銀座線神田駅10階建築8年,東京都,千代田区,鍛冶町２,1,1,0,0,0,8,10,2,30,150000,280000,東京メトロ銀座線,神田駅,2,140000,10000,140000,140000,150000,0,0.0
クレール千代田岩本町,東京都,千代田区,岩本町２,1,0,0,0,0,11,11,11,30,119000,110000,都営新宿線,岩本町駅,5,110000,9000,0,110000,119000,0,0.0
東京メトロ有楽町線麹町駅地下3地上26階建築5年,東京都,千代田区,麹町３,1,1,0,1,0,5,26,4,50,283000,566000,東京メトロ有楽町線,麹町駅,1,283000,0,283000,283000,298000,-15000,5.3
東京パークタワー,東京都,千代田区,神田神保町１,1,1,0,1,0,21,29,10,39,210000,600000,東京メトロ半蔵門線,神保町駅,1,200000,10000,400000,200000,295000,-85000,40.5
ＪＲ総武線四ツ谷駅9階建築9年,東京都,千代田区,麹町５,1,0,0,0,0,9,9,2,25,130000,260000,ＪＲ総武線,四ツ谷駅,5,130000,0,130000,130000,139000,-9000,6.9
リベア東神田,東京都,千代田区,東神田３,1,1,0,0,0,15,11,10,40,147000,137000,ＪＲ総武線,浅草橋駅,2,137000,10000,0,137000,197000,-50000,34.0
ミテッツァ千代田三崎町,東京都,千代田区,神田三崎町３,1,0,0,0,0,12,12,4,25,111000,96000,ＪＲ中央線,水道橋駅,5,96000,15000,96000,0,108000,3000,2.7
プライムアーバン飯田橋,東京都,千代田区,飯田橋４,1,0,0,0,0,18,14,2,22,100000,94000,ＪＲ中央線,飯田橋駅,1,94000,6000,94000,0,105000,-5000,5.0
パーク・ノヴァ九段,東京都,千代田区,九段南４,1,0,0,0,0,34,7,2,32,116000,318000,ＪＲ中央線,市ケ谷駅,5,106000,10000,212000,106000,131700,-15700,13.5
サンハイム三番町,東京都,千代田区,三番町,2,1,0,1,0,43,8,2,69,280000,530000,東京メトロ半蔵門線,半蔵門駅,6,265000,15000,265000,265000,200000,80000,28.6
東京メトロ半蔵門線半蔵門駅10階建築11年,東京都,千代田区,一番町,1,1,0,1,0,11,10,4,40,200000,600000,東京メトロ半蔵門線,半蔵門駅,4,200000,0,200000,400000,182000,18000,9.0
平河町プラザ,東京都,千代田区,平河町１,1,1,0,0,0,46,8,4,24,100000,194000,東京メトロ半蔵門線,半蔵門駅,3,97000,3000,97000,97000,128000,-28000,28.0
東京メトロ半蔵門線神保町駅地下2地上10階建築22年,東京都,千代田区,神田神保町２,1,1,0,1,0,22,10,9,84,350000,700000,東京メトロ半蔵門線,神保町駅,4,350000,0,350000,350000,290000,60000,17.1
デュオ・スカーラ御茶ノ水,東京都,千代田区,神田小川町２,1,1,0,1,0,22,8,5,37,150000,284000,都営新宿線,小川町駅,5,142000,8000,142000,142000,145000,5000,3.3
ヒルトップ半蔵門,東京都,千代田区,一番町,2,1,0,1,0,22,7,5,75,356000,660000,東京メトロ半蔵門線,半蔵門駅,3,330000,26000,330000,330000,356000,0,0.0
プラース千代田富士見,東京都,千代田区,富士見２,1,0,0,0,0,14,9,6,22,111000,206000,東京メトロ東西線,飯田橋駅,4,103000,8000,103000,103000,111000,0,0.0
東京メトロ半蔵門線大手町駅地下1地上14階建新築,東京都,千代田区,神田錦町１,1,1,0,1,0,0,14,7,27,187000,0,東京メトロ半蔵門線,大手町駅,7,167000,20000,0,0,184000,3000,1.6
CSビル,東京都,千代田区,神田神保町３,2,1,0,1,0,49,4,3,106,524000,1470000,都営新宿線,九段下駅,3,490000,34000,980000,490000,400000,124000,23.7
アーノンブライト一番町,東京都,千代田区,一番町,1,0,0,0,0,18,11,4,47,157000,302000,東京メトロ半蔵門線,半蔵門駅,1,151000,6000,151000,151000,157000,0,0.0
ＪＲ中央線東京駅14階建築3年,東京都,千代田区,内神田３,1,0,0,0,0,3,14,8,32,149500,141000,ＪＲ中央線,東京駅,13,141000,8500,0,141000,149500,0,0.0
東京メトロ半蔵門線神保町駅地下1地上5階建新築,東京都,千代田区,神田猿楽町２,1,0,0,0,0,0,5,5,20,114000,0,東京メトロ半蔵門線,神保町駅,6,104000,10000,0,0,116000,-2000,1.8
グランスイート千代田麹町,東京都,千代田区,麹町６,2,1,0,1,0,4,14,9,80,460000,1380000,ＪＲ中央線,四ツ谷駅,2,460000,0,920000,460000,760000,-300000,65.2
ルームスキノカ,東京都,千代田区,岩本町２,1,0,0,0,0,11,13,10,25,110880,204000,ＪＲ山手線,神田駅,8,102000,8880,102000,102000,119000,-8120,7.3
東京メトロ半蔵門線神保町駅11階建築19年,東京都,千代田区,神田神保町２,1,0,0,0,0,19,11,8,26,127000,119000,東京メトロ半蔵門線,神保町駅,4,119000,8000,119000,0,120500,6500,5.1
ＪＲ総武線四ツ谷駅14階建築17年,東京都,千代田区,二番町,1,0,0,0,0,17,14,13,25,129000,129000,ＪＲ総武線,四ツ谷駅,4,129000,0,0,129000,129000,0,0.0
RAXA神田須田町ラクサ神田須田町,東京都,千代田区,神田須田町１,1,0,0,0,0,3,10,7,30,138500,128000,東京メトロ銀座線,神田駅,2,128000,10500,0,128000,138500,0,0.0
ilusaイルサ,東京都,千代田区,神田小川町３,1,0,0,0,0,21,6,3,47,201000,374000,都営三田線,神保町駅,4,187000,14000,374000,0,171000,30000,14.9
東京メトロ半蔵門線神保町駅地下1地上6階建築21年,東京都,千代田区,神田小川町３,1,0,0,0,0,21,6,3,47,201000,374000,東京メトロ半蔵門線,神保町駅,4,187000,14000,374000,0,171000,30000,14.9
東京メトロ東西線飯田橋駅地下1地上13階建築8年,東京都,千代田区,飯田橋２,1,0,0,0,0,8,13,8,25,139000,258000,東京メトロ東西線,飯田橋駅,5,129000,10000,129000,129000,139000,0,0.0
ＪＲ中央線飯田橋駅8階建築40年,東京都,千代田区,飯田橋２,2,1,0,0,0,40,8,3,42,160000,640000,ＪＲ中央線,飯田橋駅,7,160000,0,320000,320000,160000,0,0.0
麹町二番町マンション,東京都,千代田区,二番町,1,0,0,0,0,15,10,7,31,146000,276000,東京メトロ有楽町線,麹町駅,3,138000,8000,138000,138000,146000,0,0.0
ＪＲ山手線神田駅12階建築19年,東京都,千代田区,神田多町２,1,0,0,0,0,19,12,1,22,94000,168000,ＪＲ山手線,神田駅,4,84000,10000,84000,84000,92000,2000,2.1
ＪＲ山手線神田駅10階建築24年,東京都,千代田区,内神田１,1,0,0,0,0,24,10,10,41,173000,465000,ＪＲ山手線,神田駅,9,155000,18000,465000,0,151000,22000,12.7
東京メトロ千代田線大手町駅12階建築3年,東京都,千代田区,神田錦町３,1,1,0,1,0,3,12,7,41,192000,576000,東京メトロ千代田線,大手町駅,10,192000,0,192000,384000,255000,-63000,32.8
東京メトロ日比谷線秋葉原駅9階建築18年,東京都,千代田区,神田和泉町,1,0,0,0,0,18,9,9,23,104000,96000,東京メトロ日比谷線,秋葉原駅,6,96000,8000,0,96000,122500,-18500,17.8
ジオ千代田大手町,東京都,千代田区,内神田１,1,1,0,0,0,4,13,11,36,200000,380000,東京メトロ丸ノ内線,大手町駅,5,190000,10000,190000,190000,200000,0,0.0
東京メトロ有楽町線市ケ谷駅12階建築5年,東京都,千代田区,三番町,2,1,0,1,0,5,12,3,57,290000,290000,東京メトロ有楽町線,市ケ谷駅,7,290000,0,290000,0,310000,-20000,6.9
東京メトロ半蔵門線半蔵門駅14階建築1年,東京都,千代田区,一番町,1,1,0,1,0,1,14,7,56,385000,740000,東京メトロ半蔵門線,半蔵門駅,3,370000,15000,370000,370000,388000,-3000,0.8
ＪＲ総武線御茶ノ水駅6階建築4年,東京都,千代田区,外神田２,1,0,0,0,0,4,6,2,25,114000,109000,ＪＲ総武線,御茶ノ水駅,6,109000,5000,0,109000,114000,0,0.0
ＪＲ山手線神田駅10階建築16年,東京都,千代田区,神田紺屋町,1,1,0,1,0,16,10,10,51,239000,458000,ＪＲ山手線,神田駅,4,229000,10000,229000,229000,239000,0,0.0
クラヤビル,東京都,千代田区,神田神保町３,1,0,0,0,0,74,2,2,25,68000,136000,東京メトロ東西線,九段下駅,2,68000,0,68000,68000,170500,-102500,150.7
ＪＲ山手線神田駅8階建築5年,東京都,千代田区,神田富山町,1,1,0,1,0,5,8,3,39,185000,340000,ＪＲ山手線,神田駅,3,170000,15000,170000,170000,170000,15000,8.1
USビル,東京都,千代田区,平河町１,2,1,0,1,0,42,9,9,112,500000,1000000,東京メトロ半蔵門線,半蔵門駅,3,500000,0,1000000,0,500000,0,0.0
東京メトロ半蔵門線半蔵門駅10階建築40年,東京都,千代田区,隼町,1,0,0,0,0,40,10,4,27,102000,196000,東京メトロ半蔵門線,半蔵門駅,4,98000,4000,98000,98000,102000,0,0.0
レヴァンテ,東京都,千代田区,東神田２,1,1,0,0,0,29,5,2,40,120000,0,ＪＲ山手線,秋葉原駅,8,120000,0,0,0,129000,-9000,7.5
千代田ファーストハイツ,東京都,千代田区,西神田３,1,1,0,1,0,25,17,17,58,318000,606000,東京メトロ半蔵門線,神保町駅,5,303000,15000,606000,0,310000,8000,2.5
リヴシティ神田,東京都,千代田区,神田富山町,1,1,0,1,0,12,13,10,45,201500,0,東京メトロ銀座線,神田駅,3,181000,20500,0,0,201500,0,0.0
東京メトロ半蔵門線永田町駅4階建築41年,東京都,千代田区,平河町２,1,1,0,1,0,41,4,3,36,120600,0,東京メトロ半蔵門線,永田町駅,3,111100,9500,0,0,145000,-24400,20.2
ＪＲ総武線水道橋駅5階建築7年,東京都,千代田区,神田三崎町２,1,0,0,0,0,7,5,3,22,103000,186000,ＪＲ総武線,水道橋駅,4,93000,10000,93000,93000,97500,5500,5.3
東京メトロ半蔵門線半蔵門駅10階建築10年,東京都,千代田区,麹町２,1,0,0,0,0,10,10,5,25,130000,240000,東京メトロ半蔵門線,半蔵門駅,2,120000,10000,120000,120000,130000,0,0.0
東京メトロ南北線市ケ谷駅7階建築23年,東京都,千代田区,九段南３,1,0,0,0,0,23,7,4,22,93000,0,東京メトロ南北線,市ケ谷駅,5,87000,6000,0,0,95000,-2000,2.2
ＪＲ総武線浅草橋駅12階建築8年,東京都,千代田区,東神田３,1,1,0,1,0,8,12,9,35,160000,320000,ＪＲ総武線,浅草橋駅,2,160000,0,160000,160000,160000,0,0.0
ＪＲ山手線秋葉原駅11階建築22年,東京都,千代田区,東神田２,1,0,0,0,0,22,11,2,23,91500,85500,ＪＲ山手線,秋葉原駅,7,85500,6000,0,85500,91500,0,0.0
都営新宿線岩本町駅10階建築1年,東京都,千代田区,東神田２,2,1,0,1,0,1,10,8,61,279500,271000,都営新宿線,岩本町駅,5,271000,8500,0,271000,279500,0,0.0
ディム秋葉原,東京都,千代田区,神田和泉町,1,1,0,0,0,19,9,8,35,140000,130000,ＪＲ山手線,秋葉原駅,3,130000,10000,0,130000,140000,0,0.0
スカイコート九段下敷礼なし,東京都,千代田区,飯田橋２,1,0,0,0,0,19,12,6,23,112500,102000,東京メトロ東西線,九段下駅,4,102000,10500,0,102000,92000,20500,18.2
レジディア神田岩本町,東京都,千代田区,岩本町２,1,0,0,0,0,19,15,7,22,96000,172000,都営新宿線,岩本町駅,3,86000,10000,86000,86000,94500,1500,1.6
ドミール五番町(ドミールゴバンチョウ),東京都,千代田区,五番町,3,1,0,1,0,52,13,11,98,350000,693000,ＪＲ中央線,市ケ谷駅,3,330000,20000,330000,363000,350000,0,0.0
都営新宿線神保町駅地下1地上11階建築22年,東京都,千代田区,神田神保町２,1,0,0,0,0,22,11,10,22,100000,90000,都営新宿線,神保町駅,1,90000,10000,0,90000,85500,14500,14.5
ＪＲ山手線秋葉原駅12階建築18年,東京都,千代田区,東神田１,1,0,0,0,0,18,12,8,23,89000,0,ＪＲ山手線,秋葉原駅,9,79000,10000,0,0,96000,-7000,7.9
ＪＲ山手線神田駅13階建築18年,東京都,千代田区,岩本町２,1,0,0,0,0,18,13,10,31,129000,119000,ＪＲ山手線,神田駅,7,119000,10000,0,119000,129000,0,0.0
RESIDIA神田淡路町　【レジディア神田淡路町】,東京都,千代田区,神田淡路町２,1,0,0,0,0,8,12,3,27,131000,242000,ＪＲ山手線,秋葉原駅,8,121000,10000,121000,121000,131000,0,0.0
リビオレゾン千代田岩本町ルジェンテ,東京都,千代田区,岩本町２,1,0,0,0,0,3,14,5,25,110000,100000,都営新宿線,岩本町駅,4,100000,10000,100000,0,128000,-18000,16.4
都営浅草線浅草橋駅7階建築43年,東京都,千代田区,東神田３,1,1,0,1,0,43,7,5,36,163000,296000,都営浅草線,浅草橋駅,4,148000,15000,148000,148000,163000,0,0.0
東京メトロ東西線飯田橋駅12階建築12年,東京都,千代田区,神田神保町３,1,0,0,0,0,12,12,3,25,130000,240000,東京メトロ東西線,飯田橋駅,12,120000,10000,120000,120000,130000,0,0.0
東京メトロ銀座線末広町駅5階建築4年,東京都,千代田区,外神田６,1,0,0,0,0,4,5,4,11,80000,150000,東京メトロ銀座線,末広町駅,2,75000,5000,75000,75000,80000,0,0.0
